他感冒了。	tā gǎn mào le。	He caught a cold.
他紧握她的手。	tā jǐn wò tā de shǒu。	He held her hand in a firm clasp.
我把袜子穿破了.	wǒ bǎ wà zi chuān pò le.	I've worn holes in my socks.
现在五点差一刻。	xiàn zài wǔ diǎn cī yī kè。	It is a quarter to five.
布已经打成包。	bù yǐ jīng dǎ chéng bāo。	The cloth was packed in bales.
迟到总比不到好。	chí dào zǒng bì bù dào hào。	Better late than never.
我知道那种感觉。	wǒ zhī dào nà zhòng gǎn jué。	I know the feeling.
她有着细长的腿。	tā yǒu zhe xì cháng de tuǐ。	She has long thin shanks.
农作物需要雨水。	nóng zuò wù xū yào yǔ shuǐ。	The crops need rain.
你只是说说而已。	nǐ zhǐ shì shuō shuō ér yǐ。	You are just saying that.
向你全家问好。	xiàng nǐ quán jiā wèn hǎo。	Remember me to your family.
这是常有的事。	zhè shì cháng yǒu de shì。	These things happen all the time.
大家别同时说.	dà jiā biè tóng shí shuō.	Don't all speak at the same time.
有了它真是方便。	yǒu le tā zhēn shì fāng biàn。	It really comes in handy.
我很想吃饺子。	wǒ hěn xiǎng jí jiǎo zi。	I feel like having some dumplings.
我明天晚上来.	wǒ míng tiān wǎn shang lái.	I'll come round tomorrow evening.
他发烧满脸通红.	tā fā shāo mǎn liǎn tōng hóng.	Fever flushed his cheeks.
我非常感谢您。	wǒ fēi cháng gǎn xiè nín。	I'm extremely grateful to you.
我在街上遇到他。	wǒ zài jiē shàng yù dào tā。	I met him in the street.
我非常感谢您。	wǒ fēi cháng gǎn xiè nín。	I'm extremely grateful to you.
你应该去看医生。	nǐ yīng gāi qù kàn yī shēng。	You should see a doctor.
这星期他会很忙。	zhè xīng qī tā kuài hěn máng。	He is very busy this week.
我们喝了一些鸡汤。	wǒ men hè le yī xiē jī tāng。	We had some chicken soup.
他是一个高大的男孩。	tā shì yī gè gāo dà de nán hái。	He is a tall boy.
五加三的总和是八。	wǔ jiā sān de zǒng hé shì bā。	The sum of 5 and 3 is 8.
我的数学不太好。	wǒ de shù xué bù tài hào。	I am not good at mathematics.
他极为大家所爱戴。	tā jí wéi dà jiā suǒ ài dài。	He is held in affection.
那部影片很叫座。	nà bù yǐng piàn hěn jiào zuò。	That film was a great draw.
他的物理学得很好。	tā de wù lǐ xué de hěn hào。	He does well in physics.
我很想吃饺子。	wǒ hěn xiǎng jí jiǎo zi。	I feel like having some dumplings.
我的表慢五分钟。	wǒ de biǎo màn wǔ fēn zhōng。	My watch is five minutes slow.
好像要下雨了。	hǎo xiàng yào xià yǔ le。	It looks as if it is going to rain.
我教她骑自行车。	wǒ jiào tā qí zì xíng chē。	I taught her to ride a bicycle.
我不知道该怎么办。	wǒ bù zhī dào gāi zěn me bàn。	I have no idea what to do.
那孩子将满六岁了。	nà hái zi jiàng mǎn liù suì le。	The child will be six.
这只是时间问题。	zhè zhǐ shì shí jiān wèn tí。	It's only a matter of time.
我认为我考得不错.	wǒ rèn wéi wǒ kǎo de bù cuò.	I think I did OK in the exam.
这孩子身上发烧.	zhè hái zi shēn shàng fā shāo.	The child's body felt feverish.
她是工业设计师。	tā shì gōng yè shè jì shī。	She is an industrial designer.
我们必须重新开始。	wǒ men bì xū chóng xīn kāi shǐ。	We must make a new start.
我们确信能胜利。	wǒ men què xìn néng shèng lì。	We are confident of victory.
她总穿着黑衣服。	tā zǒng chuān zhuó hēi yī fu。	She always dresses in black.
她一大早就起床了。	tā yī dà zǎo jiù qǐ chuáng le。	She rose with the lark.
我和她长谈了一次。	wǒ huò tā cháng tán le yī cì。	I had a long talk with her.
三的立方是二十七。	sān de lì fāng shì èr shí qī。	Three cubed is twenty-seven.
我今天的心情不好。	wǒ jīn tiān de xīn qíng bù hǎo。	I'm feeling blue today.
我将等到四点钟。	wǒ jiàng děng dào sì diǎn zhōng。	I'll wait till four o'clock.
你把帽子戴反了。	nǐ bǎ mào zi dài fǎn le。	You have put your hat on backwards.
不会发很多时间的。	bù huì fà hěn duō shí jiān de。	It won't take much time.
我很愿意。谢谢你。	wǒ hěn yuàn yì。 xiè xie nǐ。	I do very much. Thank you.
你说的话没有道理.	nǐ shuō de huà méi yǒu dào lǐ.	What you say makes no sense.
她喜欢各种运动。	tā xǐ huan gè zhǒng yùn dòng。	She likes all kinds of sports.
她从不穿绿色的衣服。	tā cóng bù chuān lu:4 sè de yī fu。	She never wears green.
向你的孩子们问好。	xiàng nǐ de hái zi men wèn hǎo。	Give my love to your kids.
那顿饭简直好极了。	nà dùn fàn jiǎn zhí hào jí le。	That meal was simply divine!
马在路上小跑着。	mǎ zài lù shang xiǎo pǎo zhuó。	The horse trotted down the road.
我看到他就高兴。	wǒ kàn dào tā jiù gāo xìng。	I never see him but I am happy.
他有早起的习惯。	tā yǒu zǎo qǐ de xí guàn。	He is in the habit of rising early.
很高兴再次见到你。	hěn gāo xìng zài cì xiàn dào nǐ。	I'm glad to see you again.
这完全是你的过错。	zhè wán quán shì nǐ de guò cuò。	It's your fault entirely.
认识从实践开始。	rèn shi zòng shí jiàn kāi shǐ。	Knowledge begin with practice.
这对我没什么差别。	zhè duì wǒ mò shén me chā bié。	It makes no difference to me.
老人快步走开了。	lǎo rén kuài bù zǒu kāi le。	The old man set off at a quick trot.
他的病让我急死了。	tā de bìng ràng wǒ jí sǐ le。	I'm worried sick by his illness.
新年期间我去看你.	xīn nián qī jiān wǒ qù kàn nǐ.	I'll see you in the new year.
很高兴再次见到你。	hěn gāo xìng zài cì xiàn dào nǐ。	I'm glad to see you again.
她一直想成名。	tā yī zhí xiǎng chéng míng。	She has always been desirous of fame.
我不明白你的意思。	wǒ bù míng bái nǐ de yì si。	I can't apprehend your meaning.
只剩下一听肉了。	zhǐ shèng xià yī tìng ròu le。	There is only one can of meat left.
医生一会儿就到。	yī shēng yī huìr jiù dào。	The doctor will be here presently.
我的手表走时准确。	wǒ de shǒu biǎo zǒu shí zhǔn què。	My watch keeps good time.
我跳舞一点儿也不行。	wǒ tiào wǔ yī diǎnr yě bù xìng。	I'm no good at dancing.
我们游遍全国各地.	wǒ men yóu biàn quán guó gè dì.	We travelled all over the country.
这听上去挺不错的。	zhè tìng shàng qù tǐng bù cuò de。	It sounds quite all right.
我知道发生了什么事。	wǒ zhī dào fā shēng le shén me shì。	I know what happened.
我的日语相当差。	wǒ de rì yǔ xiāng dāng cī。	My knowledge of Japanese is rather poor.
我想预定一个房间。	wǒ xiǎng yù dìng yī gè fáng jiān。	I want to reserve a room.
她把头发拍整齐了.	tā bǎ tóu fà pāi zhěng qí le.	She patted her hair into place/shape.
他是一个数学天才。	tā shì yī gè shù xué tiān cái。	He is a mathematical genius.
我最近没有看到他。	wǒ zuì jìn méi yǒu kàn dào tā。	I haven't seen him recently.
要么进来，要么出去。	yào me jìn lái， yào me chū qù。	Either come in or go out.
很高兴再次见到你。	hěn gāo xìng zài cì xiàn dào nǐ。	I'm glad to see you again.
从前有一个公主.	cóng qián yǒu yī gè gōng zhǔ.	Once upon a time there was a princess.
我只想说对不起。	wǒ zhǐ xiǎng shuō duì bù qǐ。	I want to say nothing but sorry.
男孩很快地跑上楼。	nán hái hěn kuài de pǎo shàng lóu。	The boy ran upstairs quickly.
我解答不了这个难题。	wǒ jiě dá bù liǎo zhè gè nán tí。	I can't solve the problem.
她在一所中学学习。	tā zài yī suǒ zhōng xué xué xí。	She studies in a high school.
发言共占去三小时.	fā yán gòng zhàn qù sān xiǎo shí.	The speeches occupied three hours.
我的头发长得很长了。	wǒ de tóu fa zhǎng de hěn zhǎng le。	My hair has grown very long.
这些药对你有好处。	zhè xie yào duì nǐ yǒu hǎo chu。	This medicine will do you good.
这次考试比较容易。	zhè cì kǎo shì bǐ jiào róng yì。	The exam was relatively easy.
这是一个寒冷的早晨。	zhè shì yī gè hán lěng de zǎo chén。	It's a chilly morning.
四月是种树的时候。	sì yuè shì zhòng shù de shí hou。	April is the time to plant trees.
教堂在学校附近。	jiào táng zài xué xiào fù jìn。	The church is close to the school.
今天暖和一点儿了.	jīn tiān nuǎn huó yī diǎnr le.	The weather is a bit warmer today.
星期日是我休息的日子。	xīng qī rì shì wǒ xiū xi de rì zi。	Sunday is my rest day.
那条河长300公里。	nà tiáo hé zhǎng300 gōng lǐ。	The river is 300 kilometers in length.
嗯，但是你必须等我。	ēn， dàn shì nǐ bì xū děng wǒ。	Mmm, but you must wait for me.
我母亲已经五十岁了。	wǒ mǔ qīn yǐ jīng wǔ shí suì le。	My mother is fifty years old.
我想买一个新床单。	wǒ xiǎng mǎi yī gè xīn chuáng dān。	I want to buy a new bed linen.
房间里挤满了客人。	fáng jiān lǐ jǐ mǎn le kè ren。	The room was crowded with guests.
他提出了一种新理论。	tā tí chū le yī zhòng xīn lǐ lùn。	He put forward a new theory.
我不知道确切的日子。	wǒ bù zhī dào què qiè de rì zi。	I don't know the exact date.
我有一辆红色的自行车。	wǒ yǒu yī liàng hóng sè de zì xíng chē。	I have a red bike.
日本在中国的东面。	Rì běn zài Zhōng guó de dōng miàn。	Japan lies to the east of China.
他假装没有听见我。	tā jiǎ zhuāng méi yǒu tīng jiàn wǒ。	He affected not to hear me.
那儿有些彩色的气球。	nà r yǒu xiē cǎi sè de qì qiú。	There are some color balloons.
我的爱人很会做饭。	wǒ de ài ren hěn kuài zuò fàn。	My wife is very useful at cooking.
她正找电灯开关。	tā zhèng zhǎo diàn dēng kāi guān。	She is fumbling the light switch.
没有人想碰到麻烦。	méi yǒu rén xiǎng pèng dào má fan。	No one liked to have trouble.
他了解人民的意向。	tā liǎo jiě rén mín de yì xiàng。	He knew the pulse of the people.
直到他来我才离开。	zhí dào tā lái wǒ cái lí kāi。	It was not until he came that I left.
我深爱我的祖国。	wǒ shēn ài wǒ de zǔ guó。	I love my country with every fiber of my being.
我儿子上小学三年级.	wǒ ér zi shàng xiǎo xué sān nián jí.	My son's in the third grade.
她的故事使我很感动。	tā de gù shì shǐ wǒ hěn gǎn dòng。	I was very moved by her story.
他能跑得和我一样快。	tā néng pǎo de huò wǒ yí yàng kuài。	He can run as fast as I can.
那位技师技术很好。	nà wèi jì shī jì shù hěn hǎo。	That technician is highly skilled.
现代的人想法不同。	xiàn dài de rén xiǎng fǎ bù tóng。	People today think differently.
我深爱我的祖国。	wǒ shēn ài wǒ de zǔ guó。	I love my country with every fiber of my being.
他在一所中学工作。	tā zài yī suǒ zhōng xué gōng zuò。	He works in a secondary school.
这大概正是我要做的。	zhè dà gài zhèng shì wǒ yào zuò de。	Maybe that's what I'll do.
当我像你这样年纪时...	dàng wǒ xiàng nǐ zhè yàng nián jì shí...	When I was your age...
他们正在准备考试。	tā men zhèng zài zhǔn bèi kǎo shì。	They were girding for the exam.
门一开, 她走了进来。	mén yī kāi,  tā zǒu le jìn lái。	The door opened and she came in.
我十二点出去吃午饭。	wǒ shí èr diǎn chū qù jí wǔ fàn。	I go out for lunch at twelve.
我必须立刻开始工作。	wǒ bì xū lì kè kāi shǐ gōng zuò。	I must start working at once.
他的痛苦现在已经过去。	tā de tòng kǔ xiàn zài yǐ jīng guò qu。	His pain is past now.
他只是一个三岁的孩子。	tā zhǐ shì yī gè sān suì de hái zi。	He is only a child of three.
我深爱我的祖国。	wǒ shēn ài wǒ de zǔ guó。	I love my country with every fiber of my being.
我正准备打电话给你。	wǒ zhèng zhǔn bèi dǎ diàn huà jǐ nǐ。	I was just about to call you.
我累得再也走不动了。	wǒ lèi de zài yě zǒu bù dòng le。	I was too tired to walk any further.
我昨天买了好几本书。	wǒ zuó tiān mǎi le hǎo jǐ běn shū。	I bought several books yesterday.
一小时之内我就会到。	yī xiǎo shí zhī nèi wǒ jiù kuài dào。	I'll be coming within an hour.
那事已提前安排好了。	nà shì yǐ tí qián ān pái hào le。	It had been arranged beforehand.
晚饭时他吃了一些米饭。	wǎn fàn shí tā jí le yī xiē mǐ fàn。	He had some rice for supper.
我累得再也走不动了。	wǒ lèi de zài yě zǒu bù dòng le。	I was too tired to walk any further.
今天看上去是个晴天。	jīn tiān kàn shàng qù shì gè qíng tiān。	Looks like a fine day today.
每个人都是注定要死的。	měi gè rén dōu shì zhù dìng yào sǐ de。	Everyone is doomed to die.
吃饭前，我必须洗手。	chī fàn qián， wǒ bì xū xǐ shǒu。	I must wash my hands before dinner.
在这河里游泳危险。	zài zhè hé lǐ yóu yǒng wēi xiǎn。	This river is dangerous to bathe in.
我确实很好，谢谢您。	wǒ què shí hěn hǎo， xiè xie nín。	I'm very well indeed, thank you.
代我向你们全家问好。	dài wǒ xiàng nǐ men quán jiā wèn hǎo。	Give my best to your family.
春雨带来了夏日百花。	chūn yǔ dài lái le xià rì bǎi huā。	Spring rains bring summer flowers.
这是本有教育意义的书。	zhè shì běn yǒu jiào yù yì yì de shū。	This is an instructive book.
孩子们喜欢户外活动。	hái zi men xǐ huan hù wài huó dòng。	Children like outdoor activities.
许多灯照亮了街道。	xǔ duō dēng zhào liàng le jiē dào。	The street is illumined by many lights.
你说的有几分是真实的。	nǐ shuō de yǒu jǐ fèn shì zhēn shí de。	What you say is partly true.
不要把过去的事都翻出来。	bù yào bǎ guò qu de shì dōu fān chū lai。	Don't rake up the past.
她会说日语和英语。	tā kuài shuō rì yǔ huò Yīng yǔ。	She can speak Japanese as well as English.
他到十一点才回家。	tā dào shí yī diǎn cái huí jiā。	Not until eleven o'clock did he come home.
那男孩忽然哭了起来。	nà nán hái hū rán kū le qǐ lai。	The boy began crying all of a sudden.
我们正向家的方向走去。	wǒ men zhèng xiàng jiā de fāng xiàng zǒu qù。	We are heading home.
他到十一点才回家。	tā dào shí yī diǎn cái huí jiā。	Not until eleven o'clock did he come home.
她离开一个多钟头了.	tā lí kāi yī gè duō zhōng tóu le.	She left little more than an hour ago.
他是一个体育运动爱好者。	tā shì yī gè tǐ yù yùn dòng ài hào zhě。	He is a sports buff.
气候影响了他的健康。	qì hòu yǐng xiǎng le tā de jiàn kāng。	The climate affected his health.
我喜欢在图书馆学习。	wǒ xǐ huan zài tú shū guǎn xué xí。	I like to study in the library.
你完全误解了我的意思。	nǐ wán quán wù jiě le wǒ de yì si。	You mistook my meaning entirely.
你完全误解了我的意思。	nǐ wán quán wù jiě le wǒ de yì si。	You mistook my meaning entirely.
在那个班里我跟不上。	zài nèi gè bān lǐ wǒ gēn bù shàng。	I was out of my depth in that class.
我的钟一定是坏了。	wǒ de zhōng yī dìng shì huài le。	There must be something wrong with my clock.
天有点阴，可能下雨。	tiān yǒu diǎn yīn， kě néng xià yǔ。	It's a bit overcast; it might rain.
我已经校对完二十页了。	wǒ yǐ jīng xiào duì wán èr shí yè le。	I have proofread twenty pages.
她是饭店的女服务员。	tā shì fàn diàn de nu:3 fú wù yuán。	She is a waitress in a restaurant.
再见了，很高兴见到你。	zài jiàn le， hěn gāo xìng xiàn dào nǐ。	Good-bye. Nice seeing you.
事故发生在六点钟。	shì gù fā shēng zài liù diǎn zhōng。	The accident happened at six o'clock.
他们六时来的, 九时走的.	tā men liù shí lái de,  jiǔ shí zǒu de.	They came at six and went at nine.
我们说服她参加了宴会。	wǒ men shuō fú tā cān jiā le yàn huì。	We argued her into joining us.
我不知道该从哪里着手。	wǒ bù zhī dào gāi zòng nǎ li zhū shǒu。	I don't know where to begin.
这是为了对她自己有好处。	zhè shì wèi le duì tā zì jǐ yǒu hǎo chu。	It is for her own good.
他住在学校的宿舍里。	tā zhù zài xué xiào de sù shè lǐ。	He hangs out in the school dormitory.
我的新家在第十六层。	wǒ de xīn jiā zài dì shí liù céng。	My new house is on the sixteenth floor.
这座桥现在可以通行。	zhè zuò qiáo xiàn zài kě yǐ tōng xíng。	The bridge is now open to traffic.
他一句中文都不会说。	tā yī jù Zhōng wén dōu bù huì shuō。	He couldn't talk a word of Chinese.
她把我介绍给她的朋友。	tā bǎ wǒ jiè shào jǐ tā de péng you。	She introduced me to her friend.
口语体口语化或口语用法	kǒu yǔ tǐ kǒu yǔ huà huò kǒu yǔ yòng fǎ	Colloquial style or quality.
我很少听见他讲汉语。	wǒ hěn shǎo tīng jiàn tā jiǎng Hàn yǔ。	I seldom hear he speaks Chinese.
我只懂得一点法语。	wǒ zhǐ dǒng de yī diǎn fǎ yǔ。	I have only a limited understanding of French.
他笑着告诉我这个消息。	tā xiào zhuó gào su wǒ zhè gè xiāo xi。	He told me the news with a laugh.
马车夫的工作非常辛苦。	mǎ chē fū de gōng zuò fēi cháng xīn kǔ。	Wagoner's work is very hard.
她提出把汽车借给我用。	tā tí chū bǎ qì chē jiè jǐ wǒ yòng。	She offered me the loan of her car.
我们在图书馆外边见面.	wǒ men zài tú shū guǎn wài bian jiàn miàn.	Let's meet outside the library.
你和你姐姐都这么说。	nǐ huò nǐ jiě jie dōu zhè me shuō。	You and your sister said so yourselves.
他说服女儿改变主意.	tā shuō fú nu:3 ér gǎi biàn zhǔ yi.	He persuaded his daughter to change her mind.
这棵苹果树很少结果。	zhè kē píng guǒ shù hěn shǎo jié guǒ。	The apple tree is seldom fruitful.
他欢喜得说不出来。	tā huān xǐ de shuō bù chū lai。	In the fullness of his joy, he could hardly speak.
她将我介绍给她的父母。	tā jiàng wǒ jiè shào jǐ tā de fù mǔ。	She introduced me to her parents.
我们都关心她的健康。	wǒ men dōu guān xīn tā de jiàn kāng。	We are all concerned about her health.
已经出现了一些问题.	yǐ jīng chū xiàn le yī xiē wèn tí.	A number of (ie some) problems have arisen.
那个学生昨天丢了书。	nèi gè xué sheng zuó tiān diū le shū。	That student lost his book yesterday.
当父母可是件辛苦的事。	dàng fù mǔ kě shì jiàn xīn kǔ de shì。	Being a parent can be hard work.
他去邮局买些邮票。	tā qù yóu jú mǎi xiē yóu piào。	He went to the post-office to buy some stamps.
书页因年久而变黄。	shū yè yīn nián jiǔ ér biàn huáng。	The leaves of the book had yellowed with age.
领导做了英明的决定。	lǐng dǎo zuò le yīng míng de jué dìng。	The leader made a sagacious decision.
让我们友好地谈话。	ràng wǒ men yǒu hǎo de tán huà。	Let's keep the conversation on a friendly plane.
星期日是一周的第一天。	xīng qī rì shì yī zhōu de dì yī tiān。	Sunday is the first day of the week.
他的意见没多少影响。	tā de yì jiàn mò duō shao yǐng xiǎng。	His opinion doesn't carry much weight.
你双手手指的总数是10。	nǐ shuāng shǒu shǒu zhǐ de zǒng shù shì10。	The number of your finger is ten.
你双手手指的总数是10。	nǐ shuāng shǒu shǒu zhǐ de zǒng shù shì10。	The number of your finger is ten.
只要天一放晴,我们就去。	zhǐ yào tiān yī fàng qíng, wǒ men jiù qù。	If only it clears up, we'll go.
全校在大礼堂集合.	quán xiào zài dà lǐ táng jí hé.	The whole school (was) assembled in the main hall.
他住在一个舒适的小屋里。	tā zhù zài yī gè shū shì de xiǎo wū lǐ。	He lives in a cosy little room.
他给她叫了一辆出租汽车。	tā jǐ tā jiào le yī liàng chū zū qì chē。	He called her a taxi.
请原谅我的字写得不好。	qǐng yuán liàng wǒ de zì xiě de bù hǎo。	Please excuse my bad handwriting.
他胜过他班中的同学。	tā shèng guò tā bān zhòng dì tóng xué。	He got the better of his classmates.
如果天气好，当然可以。	rú guǒ tiān qì hào， dāng rán kě yǐ。	Certainly, if the weather is fine.
两把椅子坐起来都不舒服。	liǎng bǎ yǐ zi zuò qǐ lai dōu bù shū fu。	Neither chair is comfortable.
你我都不会说汉语.	nǐ wǒ dōu bù huì shuō Hàn yǔ.	You're no more capable of speaking Chinese than I am.
云是天空中的水汽团。	yún shì tiān kōng zhòng dì shuǐ qì tuán。	A cloud is a mass of vapor in the sky.
这二人一见钟情。	zhè èr rén yī xiàn zhōng qíng。	The two fell in love with each other at the first sight.
我们今年取得了大丰收。	wǒ men jīn nián qǔ dé le Dà fēng shōu。	We have a plenteous harvest this year.
他们都往同一方向走了.	tā men dōu wàng tóng yī fāng xiàng zǒu le.	They all went off in one direction.
还好我们没有跟着他。	hái hǎo wǒ men méi yǒu gēn zhe tā。	It is just as well that we did not follow him.
他们一步不停地走了过去。	tā men yí bù bù tíng de zǒu le guò qu。	They walked past without stopping
以前在那里有一个邮局。	yǐ qián zài nà li yǒu yī gè yóu jú。	There used to be a post office there.
他想出了一个极好的主意。	tā xiǎng chū le yī gè jí hǎo de zhǔ yi。	He worked out an excellent idea.
上星期天我十点钟起床。	shàng xīng qī tiān wǒ shí diǎn zhōng qǐ chuáng。	I got up at ten last Sunday.
中国是一个发展中国家。	Zhōng guó shì yī gè fā zhǎn Zhōng guó jiā。	China is a developing country.
星期日是一周的第一天。	xīng qī rì shì yī zhōu de dì yī tiān。	Sunday is the first day of the week.
我中午通常只吃点心.	wǒ zhōng wǔ tōng cháng zhǐ jí diǎn xīn.	Usually I only have a snack at lunchtime.
黑板在教室的前面。	hēi bǎn zài jiào shì de qián mian。	The blackboard is in the front of the classroom.
他是世界上最富有的人。	tā shì shì jiè shàng zuì fù yǒu de rén。	He is the richest man in the world.
不休息我们就走不动了。	bù xiū xī wǒ men jiù zǒu bù dòng le。	We can't go any farther without a rest.
每个母亲都爱她的孩子。	měi gè mǔ qīn dōu ài tā de hái zi。	Every mother has affection for her children.
他不该做那事是有必要的。	tā bù gāi zuò nà shì shì yǒu bì yào de。	It is important that he not do it.
这次迟到不是我们的错。	zhè cì chí dào bú shì wǒ men de cuò。	It was not our fault that we were late.
我们今年取得了大丰收。	wǒ men jīn nián qǔ dé le Dà fēng shōu。	We have a plenteous harvest this year.
我们明天将一起吃午饭。	wǒ men míng tiān jiàng yī qǐ jí wǔ fàn。	We will eat lunch together tomorrow.
对不起，我忘了你的名字。	duì bù qǐ， wǒ wàng le nǐ de míng zi。	I'm sorry; I've forgotten your name.
请医生开点咳嗽药.	qǐng yī shēng kāi diǎn ké sou yào.	Ask the doctor to prescribe something for that cough.
她走进内室去换衣服。	tā zǒu jìn nèi shì qù huàn yī fu。	She went into the inner room to change her dress.
我们深深感谢你的支持。	wǒ men shēn shēn gǎn xiè nǐ de zhī chí。	We are deeply grateful for your support.
他没有努力工作的动力。	tā méi yǒu nǔ lì gōng zuò de dòng lì。	He hasn't much incentive to work hard.
这些苹果不熟，是酸的。	zhè xie píng guǒ bù shú， shì suān de。	These apples are not ripe; they are sour.
她穿着一件深蓝色的上衣。	tā chuān zhuó yī jiàn Shēn lán shǎi de shàng yī。	She wore a dark blue coat.
这些苹果不熟，是酸的。	zhè xie píng guǒ bù shú， shì suān de。	These apples are not ripe; they are sour.
丰年时人人都吃得饱。	fēng nián shí rén rén dōu jí de bǎo。	In years of plenty everyone has plenty to eat.
他向我提了一些很好的意见。	tā xiàng wǒ tí le yī xiē hěn hǎo de yì jiàn。	He gave me some good advice.
你应该好好利用这个机会。	nǐ yīng gāi hǎo hǎo lì yòng zhè gè jī huì。	You should take advantage of it.
我们想去参加化装舞会。	wǒ men xiǎng qù cān jiā huà zhuāng wǔ huì。	We want to join in the masquerade.
休息一下对你会有好处的。	xiū xi yī xià duì nǐ kuài yǒu hǎo chu de。	It'll do you good to have a rest.
你的雨衣系上带子更好看.	nǐ de yǔ yī xì shàng dài zi gèng hǎo kàn.	Your mackintosh looks better belted.
别客气，我又不是外人。	biè kè qì， wǒ yòu bú shì wài rén。	Don't stand on ceremony. I'm no stranger.
她一点儿也不像那么大年纪.	tā yī diǎnr yě bù xiàng nà me dà nián jì.	She doesn't look her age at all.
他们拿那位老人开玩笑。	tā men ná nà wèi lǎo rén kāi wán xiào。	They are making fun of the old man.
