桌面	zhuōmiàn	1. desktop;2. tabletop
 女婿	nǚxù	1. daughter's husband;2. son-in-law
 兩旁	liǎngpáng	1. both sides;2. either side
 鶚	è	1. (bird species of China) western osprey (Pandion haliaetus)
 洗牌	xǐpái	1. to shuffle cards
 佃戶	diànhù	1. tenant farmer
 旗	qí	1. banner;2. flag;3. (in Qing times) Manchu (cf. 八旗[Ba1 qi2]);4. administrative subdivision in inner Mongolia equivalent to 縣|县[xian4] county;5. CL:面[mian4]
 存心	cúnxīn	1. deliberately
 來到	láidào	1. to come;2. to arrive
 談情說愛	tánqíngshuōài	1. to murmur endearments (idiom);2. to get into a romantic relationship
 因	yīn	1. cause;2. reason;3. because
 低頭	dītóu	1. to bow the head;2. to yield;3. to give in
 拜佛	bàifó	1. to worship Buddha
 布鞋	bùxié	1. cloth shoes;2. CL:雙|双[shuang1],隻|只[zhi1]
 鑽	zuān	1. to drill;2. to bore;3. to get into;4. to make one's way into;5. to enter (a hole);6. to thread one's way through;7. to study intensively;8. to dig into;9. to curry favor for personal gain;10. an auger;11. diamond
 凸起	tūqǐ	1. convex;2. protruding;3. to protrude;4. to bulge;5. to buckle upwards
 麻將	májiāng	1. mahjong;2. CL:副[fu4]
 只能	zhǐnéng	1. can only;2. obliged to do sth;3. to have no other choice
 幫	bāng	1. to help;2. to assist;3. to support;4. for sb (i.e. as a help);5. hired (as worker);6. side (of pail, boat etc);7. outer layer;8. upper (of a shoe);9. group;10. gang;11. clique;12. party;13. secret society
 衣衫	yīshān	1. clothing;2. unlined garment
 和尚	héshàng	1. Buddhist monk
 有錢人	yǒuqiánrén	1. rich person;2. the rich
 悄聲	qiāoshēng	1. quietly;2. in a low voice
 門檻	ménkǎn	1. doorstep;2. sill;3. threshold;4. fig. knack or trick (esp. scheme to get sth cheaper)
 訓斥	xùnchì	1. to reprimand;2. to rebuke;3. to berate;4. stern criticism
 心腸	xīncháng	1. heart;2. intention;3. one's inclination;4. state of mind;5. to have the heart for sth;6. mood
 推說	tuīshuō	1. to plead;2. to claim as an excuse
 牌九	páijiǔ	1. pai gow (gambling game played with dominoes)
 揪住	jiūzhù	1. to grab
 隻	zhī	1. classifier for birds and certain animals, one of a pair, some utensils, vessels etc
 叫醒	jiàoxǐng	1. to awaken;2. to wake sb up;3. to rouse
 大雨	dàyǔ	1. heavy rain;2. CL:場|场[chang2]
 犁	lí	1. plow
 竊竊	qièqiè	1. privately;2. secretly;3. unobtrusively
 說白了	shuōbáile	1. to speak frankly
 做出	zuòchū	1. to put out;2. to issue
 蔣介石	jiǎngjièshí	1. Chiang Kai-shek (1887-1975), military leader, head of the Nationalist government in China 1928-1949 and the government in exile on Taiwan 1950-1975
 債主	zhàizhǔ	1. creditor
 拖	tuō	1. to drag;2. to tow;3. to trail;4. to hang down;5. to mop (the floor);6. to delay;7. to drag on
 免不了	miǎnbùliǎo	1. unavoidable;2. can't be avoided
 擺弄	bǎinòng	1. to move back and forth;2. to fiddle with
 家境	jiājìng	1. family financial situation;2. family circumstances
 黑桃	hēitáo	1. spade ♠ (in card games)
 袖管	xiùguǎn	1. sleeve
 編著	biānzhù	1. to compile;2. to write
 一身	yīshēn	1. whole body;2. from head to toe;3. single person;4. a suit of clothes
 抬	tái	1. to lift;2. to raise;3. (of two or more persons) to carry
 這麼	zhème	1. so much;2. this much;3. how much?;4. this way;5. like this
 腳丫子	jiǎoyāzi	1. (coll.) foot
 瞇	mī	1. to narrow one's eyes;2. to squint;3. (dialect) to take a nap
 賭局	dǔjú	1. game of chance;2. gambling party;3. gambling joint
 敗家子	bàijiāzi	1. spendthrift;2. wastrel;3. prodigal
 不孝	bùxiào	1. unfilial
 支支吾吾	zhīzhīwúwú	1. to hem and haw;2. to stall;3. to stammer;4. to mumble;5. to falter
 金	jīn	1. Jurchen Jin dynasty (1115-1234);2. gold;3. chemical element Au;4. generic term for lustrous and ductile metals;5. money;6. golden;7. highly respected;8. one of the eight categories of ancient musical instruments 八音[ba1 yin1]
 打鼓	dǎgǔ	1. to beat a drum;2. to play a drum;3. (fig.) to feel nervous
 卻是	quèshì	1. nevertheless;2. actually;3. the fact is ...
 搔癢	sāoyǎng	1. to scratch (an itch);2. to tickle
 茶水	cháshuǐ	1. tea prepared in large quantity using inexpensive tea leaves
 照射	zhàoshè	1. to shine on;2. to light up;3. to irradiate
 該	gāi	1. should;2. ought to;3. probably;4. must be;5. to deserve;6. to owe;7. to be sb's turn to do sth;8. that;9. the above-mentioned
 夥計	huǒjì	1. variant of 伙計|伙计[huo3 ji5]
 停下	tíngxià	1. to stop
 筆直	bǐzhí	1. perfectly straight;2. straight as a ramrod;3. bolt upright
 二流子	èrliúzi	1. loafer;2. idler;3. bum
 有生以來	yǒushēngyǐlái	1. since birth;2. for one's whole life
 對	duì	1. right;2. correct;3. couple;4. pair;5. towards;6. at;7. for;8. to face;9. opposite;10. to treat (sb a certain way);11. to match together;12. to adjust;13. to fit;14. to suit;15. to answer;16. to reply;17. classifier: couple
 唱	chàng	1. to sing;2. to call loudly;3. to chant
 八月	bāyuè	1. August;2. eighth month (of the lunar year)
 賊亮	zéiliàng	1. bright;2. shiny;3. dazzling;4. glaring
 失聲	shīshēng	1. to lose one's voice;2. (to cry out) involuntarily
 作	zuò	1. worker;2. workshop;3. (slang) troublesome;4. high-maintenance (person);5. to do;6. to grow;7. to write or compose;8. to pretend;9. to regard as;10. to feel;11. writings or works
 聊	liáo	1. to chat;2. to depend upon (literary);3. temporarily;4. just;5. slightly
 半晌	bànshǎng	1. half of the day;2. a long time;3. quite a while
 南腔北調	nánqiāngběidiào	1. a regional accent
 黝黑	yǒuhēi	1. dark;2. black;3. suntanned
 離去	líqù	1. to leave;2. to exit
 乾	qián	1. one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven;2. male principle;3. ☰;4. ancient Chinese compass point: 315° (northwest);5. dry;6. clean;7. in vain;8. dried food;9. foster;10. adoptive;11. to ignore
 可不	kěbù	1. see 可不是[ke3 bu5 shi4]
 老爺	lǎoyé	1. (respectful) lord;2. master;3. (coll.) maternal grandfather
 一聲不吭	yīshēngbùkēng	1. to not say a word
 青草	qīngcǎo	1. grass
 後	hòu	1. back;2. behind;3. rear;4. afterwards;5. after;6. later;7. post-
 額頭	étóu	1. forehead
 可	kě	1. can;2. may;3. able to;4. to approve;5. to permit;6. to suit;7. (particle used for emphasis) certainly;8. very;9. see 可汗[ke4 han2]
 知	zhī	1. to know;2. to be aware
 軟硬不吃	ruǎnyìngbùchī	1. unmoved by force or persuasion
 神色	shénsè	1. expression;2. look
 還	hái	1. still;2. still in progress;3. still more;4. yet;5. even more;6. in addition;7. fairly;8. passably (good);9. as early as;10. even;11. also;12. else;13. to pay back;14. to return
 散漫	sǎnmàn	1. undisciplined;2. unorganized
 講述	jiǎngshù	1. to talk about;2. to narrate;3. to give an account
 羞怯	xiūqiè	1. shy;2. timid
 不可救藥	bùkějiùyào	1. incurable;2. incorrigible;3. beyond cure;4. hopeless
 屎	shǐ	1. stool;2. feces;3. ear wax;4. nasal mucus
 身後	shēnhòu	1. posthumous;2. one's social background;3. behind the body
 縫	fèng	1. to sew;2. to stitch;3. seam;4. crack;5. narrow slit;6. CL:道[dao4]
 短褲	duǎnkù	1. short pants;2. shorts
 自古	zìgǔ	1. (since) ancient times;2. (from) time immemorial
 腰板	yāobǎn	1. waist and back;2. fig. upright and still healthy
 幾年	jǐnián	1. a few years;2. several years;3. how many years
 一句	yījù	1. a line of verse;2. a sentence
 牌	pái	1. mahjong tile;2. playing card;3. game pieces;4. signboard;5. plate;6. tablet;7. medal;8. CL:片[pian4],個|个[ge4],塊|块[kuai4]
 逃竄	táocuàn	1. to run away;2. to flee in disarray
 水邊	shuǐbiān	1. edge of the water;2. waterside;3. shore (of sea, lake or river)
 香火	xiānghuǒ	1. incense burning in front of a temple;2. burning joss sticks
 跑堂	pǎotáng	1. waiter (old)
 田產	tiánchǎn	1. estate;2. lands
 搶先	qiǎngxiān	1. to rush (to do sth urgent);2. to try to be the first;3. to forestall
 滿不在乎	mǎnbùzàihu	1. not in the least concerned (idiom);2. reckless;3. couldn't give a damn about it;4. unperturbed;5. couldn't care less;6. harum scarum
 耕田	gēngtián	1. to cultivate soil;2. to till fields
 村舍	cūnshè	1. cottage
 嘩嘩	huāhuā	1. sound of gurgling water
 干	gàn	1. to concern;2. to interfere;3. shield;4. stem
 鬼混	guǐhùn	1. to hang around;2. to fool around;3. to live aimlessly
 水面	shuǐmiàn	1. water surface
 嗓音	sǎngyīn	1. voice
 嘟嘟噥噥	dūdūnóngnóng	1. to mumble in whispers;2. to mutter to oneself
 坑坑窪窪	kēngkēngwāwā	1. bumpy;2. full of potholes
 賭徒	dǔtú	1. gambler
 河邊	hébiān	1. river bank
 酸曲	suānqū	1. love song
 捂	wǔ	1. to enclose;2. to cover with the hand (one's eyes, nose or ears);3. to cover up (an affair);4. contrary;5. to contradict
 沉不住氣	chénbúzhùqì	1. to lose one's cool;2. to get impatient;3. unable to remain calm
 手氣	shǒuqì	1. luck (in gambling)
 踢	tī	1. to kick;2. to play (e.g. soccer);3. (slang) butch (in a lesbian relationship)
 撒尿	sāniào	1. to pass water;2. to piss;3. to urinate;4. to wee wee
 敲打	qiāodǎ	1. to beat sb;2. to beat (a drum)
 十月	shíyuè	1. October;2. tenth month (of the lunar year)
 才	cái	1. ability;2. talent;3. sb of a certain type;4. a capable individual;5. only;6. only then;7. just now
 撓癢癢	náoyǎngyǎng	1. to tickle
 走出	zǒuchū	1. to leave (a room etc);2. to go out through (a door etc)
 嘴裡	zuǐlǐ	1. mouth;2. in the mouth;3. on one's lips;4. speech;5. words
 雙手	shuāngshǒu	1. both hands
 清點	qīngdiǎn	1. to check;2. to make inventory
 栽	zāi	1. to grow;2. to plant;3. to insert;4. to force on sb;5. to fall head first
 天	tiān	1. day;2. sky;3. heaven
 第一次	dìyīcì	1. the first time;2. first;3. number one
 車輪	chēlún	1. wheel
 鄉間	xiāngjiān	1. in the country;2. rural;3. pastoral
 事	shì	1. matter;2. thing;3. item;4. work;5. affair;6. CL:件[jian4],樁|桩[zhuang1],回[hui2]
 整天	zhěngtiān	1. all day long;2. whole day
 進城	jìnchéng	1. to go to town;2. to enter a big city (to live or work)
 欲	yù	1. to wish for;2. to desire;3. variant of 慾|欲[yu4]
 飯	fàn	1. cooked rice;2. CL:碗[wan3];3. meal;4. CL:頓|顿[dun4];5. (loanword) fan;6. devotee
 手裡	shǒulǐ	1. in hand;2. (a situation is) in sb's hands
 野地	yěde	1. wilderness
 叫喚	jiàohuàn	1. to cry out;2. to bark out a sound
 每天	měitiān	1. every day;2. everyday
 女人家	nǚrénjiā	1. women (in general)
 花花綠綠	huāhuālǜlǜ	1. brightly colored;2. gaudy
 擠滿	jǐmǎn	1. crowded to bursting point;2. filled to overflowing;3. jam-packed
 沉睡	chénshuì	1. to be fast asleep;2. (fig.) to lie dormant;3. to lie undiscovered
 是不是	shìbúshì	1. is or isn't;2. yes or no;3. whether or not
 聲	shēng	1. sound;2. voice;3. tone;4. noise;5. reputation;6. classifier for sounds
 已	yǐ	1. already;2. to stop;3. then;4. afterwards
 蒸騰	zhēngténg	1. (of a vapor etc) to rise;2. to hang in the air
 長衫	zhǎngshān	1. long gown;2. cheongsam;3. traditional Asian dress for men or (in Hong Kong) women's qipao
 那時	nàshí	1. then;2. at that time;3. in those days
 扶犁	fúlí	1. to put one's hand to the plow
 細聲細氣	xìshēngxìqì	1. in a fine voice (idiom); softly spoken
 前世	qiánshì	1. previous generations;2. previous incarnation (Buddhism)
 慢吞吞	màntūntūn	1. very slow;2. exasperatingly slow
 泥鰍	níqiū	1. loach;2. mud fish;3. CL:條|条[tiao2]
 一點	yīdiǎn	1. a bit;2. a little;3. one dot;4. one point
 拍打	pāidǎ	1. to pat;2. to slap;3. (of a bird) to flap (one's wings)
 水壺	shuǐhú	1. kettle;2. canteen;3. watering can
 咧	liě	1. see 咧咧[lie1 lie1];2. to draw back the corners of one's mouth;3. modal particle expressing exclamation
 商會	shānghuì	1. chamber of commerce
 打盹	dǎdǔn	1. to doze off
 常	cháng	1. always;2. ever;3. often;4. frequently;5. common;6. general;7. constant
 起先	qǐxiān	1. at first;2. in the beginning
 樹梢	shùshāo	1. the tip of a tree;2. treetop
 歌詞	gēcí	1. song lyric;2. lyrics
 近前	jìnqián	1. to come close;2. to get near to;3. front
 整夜	zhěngyè	1. the whole night;2. all through the night
 信口開河	xìnkǒukāihé	1. to speak without thinking (idiom);2. to blurt sth out
 妻	qī	1. wife;2. to marry off (a daughter)
 少爺	shǎoyé	1. son of the boss;2. young master of the house;3. your son (honorific)
 舊日	jiùrì	1. former times;2. olden days
 招	zhāo	1. to recruit;2. to provoke;3. to beckon;4. to incur;5. to infect;6. contagious;7. a move (chess);8. a maneuver;9. device;10. trick;11. to confess
 這天	zhètiān	1. today;2. this day
 噢	ō	1. Oh!
 露出	lùchū	1. to expose;2. to show;3. also pr. [lou4 chu1]
 手心	shǒuxīn	1. palm (of one's hand);2. control (extended meaning from having something in the palm of one's hand)
 心裡	xīnlǐ	1. chest;2. heart;3. mind
 走開	zǒukāi	1. to leave;2. to walk away;3. to beat it;4. to move aside
 滯	zhì	1. sluggish
 摘下	zhāixià	1. to take off;2. to remove (one's hat, a door from its hinges etc);3. to pick (a piece of fruit from a tree etc);4. (sports) to pick off (a rebound etc)
 缸	gāng	1. jar;2. vat;3. classifier for loads of laundry;4. CL:口[kou3]
 肥碩	féishuò	1. fleshy (fruit);2. plump;3. large and firm-fleshed (limbs, body);4. stout
 骰子	tóuzǐ	1. dice
 茶垢	chágòu	1. tea stain (on the inside of a tea pot, tea cup etc)
 粗啞	cūyǎ	1. husky;2. hoarse;3. raucous
 帳目	zhàngmù	1. account
 當上	dāngshàng	1. to take up duty as;2. to assume a position;3. to assume;4. to take on (an office)
 眉開眼笑	méikāiyǎnxiào	1. brows raised in delight, eyes laughing (idiom); beaming with joy;2. all smiles
 二來	èrlái	1. secondly, ...
 認輸	rènshū	1. to concede;2. to admit defeat
 旁	páng	1. beside;2. one side;3. other;4. side;5. self;6. the right-hand side of split Chinese character, often the phonetic
 脊背	jǐbèi	1. back (of a human or other vertebrate)
 苦根	kǔgēn	1. underlying cause of poverty
 罵罵咧咧	màmàliēliē	1. to swear while talking;2. to be foul-mouthed
 笑盈盈	xiàoyíngyíng	1. smilingly;2. to be all smiles
 彷彿	pángfú	1. to seem;2. as if;3. alike;4. similar
 雷公	léigōng	1. Lei Gong or Duke of Thunder, the God of Thunder in Chinese mythology
 乇	tuō	1. archaic variant of 托[tuo1];2. "blade of grass" component in Chinese characters
 釘子	dīngzi	1. nail;2. snag;3. saboteur
 贏家	yíngjiā	1. winner
 勾當	gōudāng	1. shady business
 頭巾	tóujīn	1. cloth head covering worn by men in ancient times;2. headscarf (typically worn by women);3. kerchief;4. turban
 豬肉	zhūròu	1. pork
 偷偷	tōutōu	1. stealthily;2. secretly;3. covertly;4. furtively;5. on the sly
 動	dòng	1. (of sth) to move;2. to set in movement;3. to displace;4. to touch;5. to make use of;6. to stir (emotions);7. to alter;8. abbr. for 動詞|动词[dong4 ci2], verb
 鬧騰	nàoténg	1. to disturb;2. to create confusion;3. to make a din
 扯	chě	1. to pull;2. to tear;3. (of cloth, thread etc) to buy;4. to chat;5. to gossip;6. (coll.) (Tw) ridiculous;7. hokey
 有氣無力	yǒuqìwúlì	1. weakly and without strength (idiom); dispirited
 苦味	kǔwèi	1. bitter taste;2. bitterness
 汗水	hànshuǐ	1. sweat;2. perspiration
 屢見不鮮	lǚjiànbùxiān	1. a common occurrence (idiom)
 妓院	jìyuàn	1. brothel;2. whorehouse
 大錢	dàqián	1. high denomination of banknotes or coins;2. lots of money;3. a big sum (e.g. a bribe)
 閉著	bìzhù	1. closed
 幹活	gànhuó	1. to work;2. to be employed
 遊蕩	yóudàng	1. to wander;2. to roam about;3. to loaf about;4. to be idle
 止	zhǐ	1. to stop;2. to prohibit;3. until;4. only
 女孩	nǚhái	1. girl;2. lass
 握住	wòzhù	1. to grip;2. to hold
 中	zhōng	1. China;2. Chinese;3. within;4. among;5. in;6. middle;7. center;8. while (doing sth);9. during;10. (dialect) OK;11. all right;12. to hit (the mark);13. to be hit by;14. to suffer;15. to win (a prize, a lottery)
 堵	dǔ	1. to block up (a road, pipe etc);2. to stop up (a hole);3. (fig.) (of a person) choked up with anxiety or stress;4. wall (literary);5. (classifier for walls)
 小道	xiǎodào	1. bypath;2. trail;3. bribery as a means of achieving a goal;4. minor arts (Confucian reference to agriculture, medicine, divination, and other professions unworthy of a gentleman)
 正文	zhèngwén	1. main text (as opposed to footnotes);2. main body (of a book)
 輸給	shūgěi	1. to lose to (sb);2. to be outdone by
 無恙	wúyàng	1. in good health
 檢點	jiǎndiǎn	1. to examine;2. to check;3. to keep a lookout;4. cautious;5. restrained (in speech or mannerisms)
 透亮	tòuliàng	1. bright;2. shining;3. translucent;4. crystal clear
 嘰嘰喳喳	jījīzhāzhā	1. (onom.) chirp;2. twitter;3. buzzing;4. to chatter continuously
 起身	qǐshēn	1. to get up;2. to leave;3. to set forth
 爪子	zhuǎzǐ	1. (animal's) claw
 開脫	kāituō	1. to exculpate;2. to absolve;3. to exonerate
 赤裸	chìluǒ	1. naked;2. bare
 不好	bùhǎo	1. no good
 不願	bùyuàn	1. unwilling;2. unwillingness
 昏昏沉沉	hūnhūnchénchén	1. dizzy
 松花蛋	sōnghuādàn	1. thousand-year egg;2. preserved egg
 一口	yīkǒu	1. readily;2. flatly (deny, admit and so on);3. a mouthful;4. a bite
 轉彎抹角	zhuǎnwānmǒjiǎo	1. see 拐彎抹角|拐弯抹角[guai3 wan1 mo4 jiao3]
 嘻嘻	xīxī	1. hee hee;2. happy
 不能	bùnéng	1. cannot;2. must not;3. should not
 有人	yǒurén	1. someone;2. people;3. anyone;4. there is someone there;5. occupied (as in restroom)
 氣	qì	1. gas;2. air;3. smell;4. weather;5. to make angry;6. to annoy;7. to get angry;8. vital energy;9. qi
 各不相同	gèbùxiāngtóng	1. to have nothing in common with each other (idiom)
 項圈	xiàngquān	1. necklace
 撐	chēng	1. to support;2. to prop up;3. to push or move with a pole;4. to maintain;5. to open or unfurl;6. to fill to bursting point;7. brace;8. stay;9. support
