愛戴	àidài	love and respect
打發	dǎfā	to while away one's time
打擊	dǎjí	strike, hit, attack
打量	dǎliàng	measure with the eye, estimate, think
打獵	dǎliè	hunt
打牌	dǎpái	play mah-jong, play mahjong, play cards
打手	dǎshǒu	hatchet man, goon
打烊	dǎyáng	close store/ business for night
大便	dàbiàn	the stool; feces 
大道	dàdào	wide road
大隊	dàduì	a group of people
大選	dàxuǎn	general election
大意	dàyì	gist, general idea
大致	dàzhì	rough
歹徒	dǎitú	an evildoer, an outlaw
逮捕	dàibǔ	make an arrest
代課	dàikè	substitute-teach, take over a class for an absent teacher
怠慢	dàimàn	slight, neglect a guest
擔當	dāndāng	take on, undertake, assume
單獨	dāndú	alone, solely, singly, individually, on one's own
擔負	dānfù	bear, shoulder, take on, be charged with
單價	dānjià	unit price
單據	dānjù	documentary evidence in trade e.g., receipts/ vouchers
單親	dānqīn	single parent
淡水	dànshuǐ	fresh water
當兵	dāngbīng	serve in army
當代	dāngdài	the present age
當局	dāngjú	appropriate/ concerned authorities
當前	dāngqián	before/ facing one, the present, here and now
當心	dāngxīn	beware
黨派	dǎngpài	factions, parties, cliques
黨員	dǎngyuán	Party member
大使	dàshǐ	ambassador
倒楣	dǎoméi	be out of luck, be unlucky
導師	dǎoshī	tutor, teacher, supervisor
導遊	dǎoyóu	tourist guide
島嶼	dǎoyǔ	island, isle
導致	dǎozhì	lead to, bring about, result in, cause
道別	dàobié	say farewell
道地	dàodì	genuine
到期	dàoqí	become due, run out, fall, expiration, due, expire, be due, mature
道士	dàoshì	Daoist priest
倒數	dàoshǔ	count backwards
道義	dàoyì	morality and justice
得以	déyǐ	so that...canmay...
登場	dēngchǎng	be taken to threshing ground, come on stage
燈火	dēnghuǒ	lights
燈籠	dēnglóng	lantern, lamp
登陸	dēnglù	land, disembark
等候	děnghòu	wait, await, expect
等價	děngjià	of equal value; equal in value 
嘀咕	dígū	whisper, have doubts about sth., have sth. on one's mind, mumble complainingly
底片	dǐpiàn	negative, photographic plate
抵押	dǐyā	mortgage
抵制	dǐzhì	boycott
地表	dìbiǎo	earth's surface
地步	dìbù	condition, situation, state, extent
締結	dìjié	to conclude a treaty, etc.
地勢	dìshì	1terrain; geography of; topography; the lay of the land 
弟兄	dìxiōng	brother, soldiers, buddy, brothers, frater, frere, Brother
地域	dìyù	region, district
地獄	dìyù	hell, inferno
締造	dìzào	found, create
地質	dìzhí	geology
地主	dìzhǔ	landlord, host
顛覆	diānfù	overturn, subvert
典型	diǎnxíng	typical case, model, type
典雅	diǎnyǎ	refined, elegant of diction
點子	diǎnzi	idea
奠定	diàndìng	establish, settle
電工	diàngōng	electrical engineering, electrician
惦記	diànjì	remember with concern, worry about
電力	diànlì	electric power
電流	diànliú	electric current
電器	diànqì	electrical equipment/ appliance
電壓	diànyā	voltage
凋零	diāolíng	wither, fall, and scatter about
調度	diàodù	dispatch buses/ etc., manage
吊橋	diàoqiáo	suspension bridge, drawbridge
釣魚	diàoyú	angle, go fishing
定額	dìngé	quota
訂購	dìnggòu	order goods
定義	dìngyì	definition
丟棄	diūqì	abandon, discard, give up
動機	dòngjī	motif, need, reason, instance, ground, incentive, signal, intention, motive, motivation, inducement, cause
凍結	dòngjié	freeze lit./ fig.
動靜	dòngjìng	movement, activity
動力	dònglì	motivity, motive power, wheel, motive power/ force, agency, vector, dynamics, force, motive_power, momentum, power
動亂	dòngluàn	turmoil, upheaval, disturbance
動脈	dòngmài	artery
動態	dòngtài	situation, the movement in a certain sphere of human activity, development, trend, trends;dynamic state, dynamic
動向	dòngxiàng	trend, tendency
洞穴	dòngxuè	cave, cavern
動員	dòngyuán	mobilize, arouse
逗留	dòuliú	stay, stop, linger, tarry
鬥志	dòuzhì	fighting spirit
督促	dūcù	supervise and urge
獨創	dúchuàng	produce an original creation
獨到	dúdào	special, distinguished
讀物	dúwù	reading matter
賭博	dǔbó	gamble
賭場	dǔchǎng	gambling house, casino
堵塞	dǔsè	block up
度過	dùguò	pass, spend time/ etc.
端正	duānzhèng	rectify
短缺	duǎnquē	be deficient, miss
短暫	duǎnzhàn	of short duration, brief
斷絕	duànjué	break off, sever
堆積	duījī	heap/ pile up
對比	duìbǐ	ratio, correlation
隊伍	duìwǔ	troops, ranks, contingent
兌現	duìxiàn	cash check/ etc., honor commitment/ etc., fulfill, make good
對照	duìzhào	contrast, compare
對峙	duìzhì	face-off
頓時	dùnshí	immediately, at once
多寡	duōguǎ	number, amount
多虧	duōkuī	thanks to, by grace of, luckily
多元	duōyuán	multiple
奪魁	duókuí	win first place, win championship, win the championship, carry off the first prize
躲避	duǒbì	hide oneself, elude, dodge
墮胎	duòtāi	have an  abortion, abortive, induced abortion, abort, have an induced abortion, have an abortion
額外	éwài	extra, added, additional
惡化	èhuà	worsen
惡性	èxìng	viciousness, malignancy
惡意	èyì	malice, evil intentions
恩人	ēnrén	benefactor, patron
恩怨	ēnyuàn	feeling of gratitude or enmity
恩情	ēnqíng	grace, favor
恩愛	ēnài	love, devotion, affection
兒女	érnǚ	sons and daughters, children, young males and females
耳光	ěrguāng	box on the ears, slap on the face
發電	fādiàn	generate electricity
發瘋	fāfēng	go crazy, be out of one's mind, flip, go mad, lunatic, mad, become insane
發掘	fājué	excavate, unearth, explore
發誓	fāshì	vow, pledge, vum, attest, promise, engage, take, plight, swan, swear
發炎	fāyán	inflammation
發育	fāyù	grow, develop
發作	fāzuò	break out, show effect, have fit of anger, flare up
法定	fǎdìng	legal, statutory
法官	fǎguān	judge, justice
法令	fǎlìng	laws, decrees
法人	fǎrén	legal/ juridical/ corporate person
法則	fǎzé	standard method, binding agreement, formula
法治	fǎzhì	rule of law
法制	fǎzhì	legal system/ institutions, legality
翻臉	fānliǎn	suddenly turn hostile, quarrel, fall out
翻身	fānshēn	1turn over;2free oneself
翻新	fānxīn	renovate, recondition
繁多	fánduō	various
藩籬	fánlí	hedge, fence
繁忙	fánmáng	busy
凡是	fánshì	whatever
反擊	fǎnjí	beat back, counterattack
反射	fǎnshè	reflect
反省	fǎnxǐng	introspect, self-questioning
反之	fǎnzhī	on the contrary, otherwise, conversely
犯錯	fàncuò	make mistake, to err
販毒	fàndú	traffic in narcotics
犯規	fànguī	foul, break the rules, break rules
販賣	fànmài	peddle, sell
方位	fāngwèi	position, direction, points of the compass, bearing
方針	fāngzhēn	policy, guiding principle
方正	fāngzhèng	upright and foursquare
妨礙	fángài	hamper, impede, obstruct
防備	fángbèi	guard or take precautions against
防範	fángfàn	be on guard, keep lookout
防水	fángshuǐ	watertight, waterproof, rainproof, be waterproof
防衛	fángwèi	defend
防禦	fángyù	defense
防治	fángzhì	prevent and cure, prophylaxis and treatment
仿冒	fǎngmào	imitate
仿造	fǎngzào	copy, be modeled on
紡織	fǎngzhī	spinning and weaving, textile
放蕩	fàngdàng	dissolute, loose, dissipate
放寬	fàngkuān	relax restrictions, ease, let out e.g.,dress
放款	fàngkuǎn	loan, make loans
放任	fàngrèn	not interfere, let alone
放鬆	fàngsōng	relax, slacken, loosen
放映	fàngyìng	show, project film
放逐	fàngzhú	exile, banish, deport
飛彈	fēidàn	missile, stray bullet
非凡	fēifán	outstanding, extraordinary, uncommon
飛快	fēikuài	at lightning speed
飛行	fēixíng	fly
飛翔	fēixiáng	circle in the air, hover
肥料	féiliào	fertilizer, manure
廢除	fèichú	abolish, abrogate, repeal
費力	fèilì	need great effort, be strenuous
廢棄	fèiqì	discard, abandon
沸騰	fèiténg	boil
廢墟	fèixū	ruins
肺炎	fèiyán	pneumonia
廢止	fèizhǐ	abolish, annul, put an end to
分貝	fēnbèi	[Physics] a decibel 
分辨	fēnbiàn	distinguish, differentiate
分寸	fēncùn	judgement for propriety in speech, behavior, etc.; a measure 
分擔	fēndān	share responsibility for
分發	fēnfā	distribute, hand out, issue
分割	fēngē	cut apart, break up, partition
分化	fēnhuà	disintegrate
分級	fēnjí	hierarchical, class, grade, rate, hierarchically, classify
分家	fēnjiā	divide up family property and live apart, break up the family and live apart
分解	fēnjiě	resolve, decompose, break down
分離	fēnlí	dispart, detach;break up couple/ lover etc.
分裂	fēnliè	split, break up, divide
分泌	fēnmì	secrete
分明	fēnmíng	evidently, plainly
分享	fēnxiǎng	share joy/ rights/ etc.,partake of
分子	fēnzǐ	molecule
粉紅	fěnhóng	pink
粉刷	fěnshuā	whitewash, plaster
分量	fènliàng	weight
風暴	fēngbào	windstorm, tempest
封閉	fēngbì	resistant to anything new
風潮	fēngcháo	agitation, unrest
風化	fēnghuà	morals and manners, the decency demanded by a society
風光	fēngguāng	scene, view, sight
風光	fēngguāng	grand;beautiful, lovely
風力	fēnglì	wind force/ power
鋒面	fēngmiàn	frontal surface
封鎖	fēngsuǒ	blockade, block, seal off
風尚	fēngshàng	prevailing fashion
豐盛	fēngshèng	rich, sumptuous
豐收	fēngshōu	bumper harvest
風水	fēngshuǐ	landscape geomancy
封條	fēngtiáo	a strip of paper used for sealing, closure, paper strip seal, paper strip used for sealing
風行	fēngxíng	be in fashion, be popular
奉獻	fèngxiàn	offer as tribute, present with all respect
奉養	fèngyǎng	support and wait upon one's parents, etc.
佛經	fójīng	Buddhist scripture/ sutra
佛像	fóxiàng	figure/ image of Buddha
否決	fǒujué	vote down, veto, overrule
膚淺	fūqiǎn	superficial
敷衍	fūyǎn	be perfunctory, skimp along in a task, treat sb. lightly/ flippantly
服從	fúcóng	obey, submit oneself to, be subordinated to
浮動	fúdòng	float, drift
幅度	fúdù	range, scope, extent
俘虜	fúlǔ	to capture; to take or make sb. Prisoner
俘虜	fúlǔ	a captive; a prisoner 
福氣	fúqì	happy lot, good fortune
輻射	fúshè	radiation
服飾	fúshì	dress and personal adornment
服刑	fúxíng	to serve a sentence; to serve one's term of imprisonment 
腐爛	fǔlàn	putrescence, putridity, corruption, decay, decomposition, blet, putrefaction
腐蝕	fǔshí	corrode, corrupt
斧頭	fǔtóu	axe, hatchet
腐朽	fǔxiǔ	molder, moulder, rust
撫養	fǔyǎng	foster, raise, bring up
撫育	fǔyù	foster, nurture, tend
富貴	fùguì	wealth and honor/ rank
付款	fùkuǎn	pay a sum of money
婦人	fùrén	married woman
附上	fùshàng	enclose herewith
復甦	fùsū	resuscitate, recover
富有	fùyǒu	be rich/ wealthy
富有	fùyǒu	be rich in, be full of
賦予	fùyǔ	endow, entrust
復原	fùyuán	recover from an illness, restore, rehabilitate
該死	gāisǐ	deserve death, Damn it!
改編	gǎibiān	adapt, rearrange, revise
改觀	gǎiguān	transfigure, have new outlook, change the face of, change appearance
改良	gǎiliáng	improve, ameliorate
改選	gǎixuǎn	hold another election
概括	gàiguā	summarize, generalize
概況	gàikuàng	general situation, survey
蓋章	gàizhāng	seal
干擾	gānrǎo	disturb, interfere
干涉	gānshè	interfere, intervene, meddle
乾燥	gānzào	dry, arid
感觸	gǎnchù	thoughts and feelings
感恩	gǎnēn	feel grateful, be thankful
趕忙	gǎnmáng	quickly, hastily
感受	gǎnshòu	perception, sentiment, mood
綱領	gānglǐng	program, guiding principle
剛強	gāngqiáng	firmly
鋼鐵	gāngtiě	iron and steel
崗位	gǎngwèi	post, station
高見	gāojiàn	your idea/ opinion
高壓	gāoyā	high pressure, high voltage/ tension, coercion, tyranny
告別	gàobié	leave, part from, bid farewell to
告狀	gàozhuàng	complain to sb.'s superior about sb.,sue sb.,sue, go to law against sb.,complain, bring a lawsuit against
胳膊	gēbo	arm
歌唱	gēchàng	sing
疙瘩	gēda	swelling, pimple, lump, knot
歌頌	gēsòng	to extol, praise, eulogize
鴿子	gēzi	pigeon, dove
隔閡	géhé	1estrangement; misunderstanding 2a barrier; a gap
格局	géjú	pattern, setup, structure
格式	géshì	a style, a format, the form of characters or letters
格外	géwài	especially, all the more
革新	géxīn	innovate
各界	gèjiè	all walks of life
個體	gètǐ	individual
各自	gèzì	each, respective, oneself
給予	gěiyǔ	give to
跟進	gēnjìn	follow in wake of
跟前	gēnqián	the front of;presence
根源	gēnyuán	source, origin, root
耕地	gēngdì	cultivated land
更動	gēngdòng	change, alter
公安	gōngān	public security
工地	gōngdì	building/ construction site
宮殿	gōngdiàn	palace
攻讀	gōngdú	diligently study, major/ specialize in
工讀	gōngdú	work part-time while studying in college/ etc.
公費	gōngfèi	public/ state expense, bursary, public expense, state expense, scholarship
公會	gōnghuì	professional club
攻擊	gōngjí	attack, assault
供給	gōnjǐ	supply, provide, furnish
恭敬	gōngjìng	respectful
功勞	gōngláo	contribution, credit, merit
功利	gōnglì	utilitarian
公民	gōngmín	citizen
公認	gōngrèn	generally acknowledge/ recognize/ accept
公事	gōngshì	public affairs, official business/ duties
恭維	gōngwéi	flatter, compliment
公文	gōngwén	official document
公務	gōngwù	public affairs, official business
公益	gōngyì	public good/ welfare
公債	gōngzhài	government bond
鞏固	gǒnggù	consolidate, strengthen, solidify
共產	gòngchǎn	communist
共鳴	gòngmíng	resonance, sympathetic response
供養	gòngyǎng	provide for, support, make offerings
勾結	gōujié	collude/ collaborate with
構想	gòuxiǎng	proposition
孤獨	gūdú	lonely, solitary
孤兒	gūér	orphan
辜負	gūfù	disappoint, let down, fail to live up to
估價	gūjià	appraisal, rating, assessment, appraised price, extent, valuation, appraisement, quotation, evaluation
孤立	gūlì	isolated
鼓吹	gǔchuī	puffery, fanfaron, breathing, advocacy, infusion, implantation, impregnation
鼓動	gǔdòng	agitate, arouse, instigate, incite
古怪	gǔguài	quaint; eccentric
古跡	gǔjī	historic site
古籍	gǔjí	ancient books
股市	gǔshì	stock market
古物	gǔwù	ancient objects, antiquities
顧全	gùquán	show consideration for
固然	gùrán	though, although
固體	gùtǐ	solid
僱用	gùyòng	charter, engage, hire, rent, retain, lease, employ
固有	gùyǒu	intrinsic, inherent, innate
固執	gùzhí	obstinate, stubborn, persist in, cling to
蝸牛	guāniú	snail
寡婦	guǎfù	widow
官司	guānsī	lawsuit
棺材	guāncái	coffin
觀測	guāncè	observe, survey
觀感	guāngǎn	impressions
關懷	guānhuái	show loving care/ concern for
觀看	guānkàn	watch, view
觀摩	guānmó	view and emulate
關切	guānqiè	be deeply concerned
關稅	guān	shuì customs duty, tariff
關頭	guāntóu	a critical juncture; a critical moment 
觀望	guānwàng	wait and see, look on from sidelines
關係	guānxì	concern, affect, to matter
關照	guānzhào	look after
管教	guǎnjiào	subject sb. to discipline, restrain and instruct
管線	guǎnxiàn	general term for pipes/ cables/ etc.
管子	guǎnzi	tube, pipe
貫徹	guànchè	carry out, implement
灌溉	guàngài	irrigate
灌輸	guànshū	instill into, imbue with, teach, impart
光顧	guānggù	patronize
光滑	guānghuá	sleek
光輝	guānghuī	brilliant, magnificent
光芒	guāngmáng	rays of light, radiance
規範	guīfàn	constraint, norm
規格	guīgé	specifications, standard
歸還	guīhuán	return, revert
規矩	guījǔ	well-behaved, gentleman-like, honest
